pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
ATLANTIC	scaffold9	1	500000	0.0018762418243816572	7594	356	189741	25411
PACIFIC	scaffold9	1	500000	0.007681134070012396	6189	1010	131491	83661
ATLANTIC	scaffold10	1	500000	0.008425120393891542	4023	859	101957	11051
ATLANTIC	scaffold10	500001	1000000	0.0017786247419406067	2425	112	62970	4930
PACIFIC	scaffold10	1	500000	0.01421993342380273	3554	1226	86217	26791
PACIFIC	scaffold10	500001	1000000	0.004963840190373496	2302	267	53789	14111
ATLANTIC	scaffold11	1	500000	0.0018235170823726681	3494	174	95420	2776
PACIFIC	scaffold11	1	500000	0.01329171116405159	3129	809	60865	37331
ATLANTIC	scaffold12	1	500000	0.004661831256586696	5078	376	80655	68081
ATLANTIC	scaffold12	500001	1000000	0.002030769230769231	2002	66	32500	23808
PACIFIC	scaffold12	1	500000	0.009383819716049914	4374	655	69801	78935
PACIFIC	scaffold12	500001	1000000	0.008610700897421334	1940	379	44015	12293
ATLANTIC	scaffold13	1	500000	0.00014378145219266715	1918	7	48685	5355
ATLANTIC	scaffold13	500001	1000000	0.0007563479200432199	662	14	18510	54
PACIFIC	scaffold13	1	500000	0.0012656091798852514	1632	45	35556	18484
PACIFIC	scaffold13	500001	1000000	0.00411433521004764	663	76	18472	92
ATLANTIC	scaffold14	1	500000	0.003352891869237217	2526	164	48913	24979
PACIFIC	scaffold14	1	500000	0.007614213197969543	1657	156	20488	53404
ATLANTIC	scaffold15	1	500000	0.0076495576351847715	3832	479	62618	51510
PACIFIC	scaffold15	1	500000	0.005826244735571721	3487	350	60073	54055
ATLANTIC	scaffold16	1	500000	0.0007395932237269501	3988	74	100055	11889
ATLANTIC	scaffold16	500001	1000000	0.0005723142959341838	2052	24	41935	16949
PACIFIC	scaffold16	1	500000	0.011099232800905547	3800	1059	95412	16532
PACIFIC	scaffold16	500001	1000000	0.0	1773	0	39955	18929
ATLANTIC	scaffold17	1	500000	0.002122498483929654	4259	140	65960	57492
PACIFIC	scaffold17	1	500000	0.0020691256888288327	3118	98	47363	76089
ATLANTIC	scaffold18	1	500000	0.000338705727253305	7875	65	191907	28649
PACIFIC	scaffold18	1	500000	0.002254982254982255	7457	413	183150	37406
ATLANTIC	scaffold19	1	500000	0.004173152570635374	8514	941	225489	13043
PACIFIC	scaffold19	1	500000	0.00724494535592062	7977	1357	187303	51229
ATLANTIC	scaffold20	1	500000	0.0005820910002263687	2622	36	61846	12886
PACIFIC	scaffold20	1	500000	0.015328874024526198	2310	770	50232	24500
ATLANTIC	scaffold21	1	500000	0.0014196242171189979	7234	238	167650	36106
PACIFIC	scaffold21	1	500000	0.00336177394087312	6687	500	148731	55025
ATLANTIC	scaffold22	1	500000	0.0011722764645426516	6273	146	124544	53228
PACIFIC	scaffold22	1	500000	0.004062642609886135	5457	365	89843	87929
ATLANTIC	scaffold23	1	500000	0.0005454474617212763	3036	42	77001	8791
PACIFIC	scaffold23	1	500000	0.006790068786349009	2813	460	67746	18046
ATLANTIC	scaffold24	1	500000	0.00816708229426434	2009	393	48120	8552
PACIFIC	scaffold24	1	500000	0.014779208666642752	1489	412	27877	28795
ATLANTIC	scaffold25	1	500000	0.002148399353704657	4958	242	112642	26434
PACIFIC	scaffold25	1	500000	0.0106357784141064	4112	988	92894	46182
ATLANTIC	scaffold26	1	500000	0.00019016925063306342	4679	19	99911	32669
PACIFIC	scaffold26	1	500000	0.0005817738561910435	4024	42	72193	60387
ATLANTIC	scaffold27	1	500000	0.000582262386443981	6390	98	168309	11255
ATLANTIC	scaffold27	500001	1000000	0.0029765886287625417	1462	89	29900	11204
PACIFIC	scaffold27	1	500000	0.007411754620806984	5957	1124	151651	27913
PACIFIC	scaffold27	500001	1000000	0.0005435871026807427	1382	19	34953	6151
ATLANTIC	scaffold28	1	500000	0.0016201153522130776	3592	150	92586	8186
PACIFIC	scaffold28	1	500000	0.0113899545114434	3427	959	84197	16575
ATLANTIC	scaffold29	1	500000	0.010904914130720582	3399	788	72261	23303
PACIFIC	scaffold29	1	500000	0.024907561659420586	2530	1226	49222	46342
ATLANTIC	scaffold30	1	500000	0.0009559066339920399	9483	220	230148	36468
ATLANTIC	scaffold30	500001	1000000	0.002347118966824802	7016	424	180647	16389
PACIFIC	scaffold30	1	500000	0.002341874286613925	7797	357	152442	114174
PACIFIC	scaffold30	500001	1000000	0.0032432706893378268	6712	511	157557	39479
ATLANTIC	scaffold31	1	500000	0.0008740332662358301	7789	165	188780	29536
PACIFIC	scaffold31	1	500000	0.005028221308336524	7464	906	180183	38133
ATLANTIC	scaffold32	1	500000	0.002830480739463093	5577	384	135666	21106
PACIFIC	scaffold32	1	500000	0.015465149631895974	5183	1941	125508	31264
ATLANTIC	scaffold33	1	500000	0.0018186026518533214	4892	165	90729	49299
PACIFIC	scaffold33	1	500000	0.003040505720273474	3596	177	58214	81814
ATLANTIC	scaffold34	1	500000	0.003987153850815004	3380	329	82515	12629
PACIFIC	scaffold34	1	500000	0.009722524274328698	3149	760	78169	16975
ATLANTIC	scaffold35	1	500000	0.0005106349549266453	2307	26	50917	18131
ATLANTIC	scaffold35	500001	1000000	0.0035389063916102022	2589	246	69513	3399
PACIFIC	scaffold35	1	500000	0.0006505757595471992	1853	20	30742	38306
PACIFIC	scaffold35	500001	1000000	0.009302539424683147	2519	607	65251	7661
ATLANTIC	scaffold36	1	500000	0.0013392177750722874	1959	44	32855	22221
PACIFIC	scaffold36	1	500000	0.010453850076491586	1004	164	15688	39388
ATLANTIC	scaffold37	1	500000	0.002077469866005864	7367	389	187247	19645
PACIFIC	scaffold37	1	500000	0.0054633764297940335	6605	865	158327	48565
ATLANTIC	scaffold38	1	500000	0.003594180588675926	5706	523	145513	14647
PACIFIC	scaffold38	1	500000	0.011435785370463337	5589	1549	135452	24708
ATLANTIC	scaffold39	1	500000	0.00037658980811037504	2200	22	58419	3377
PACIFIC	scaffold39	1	500000	0.003345713496424077	1907	109	32579	29217
ATLANTIC	scaffold41	1	500000	0.0004113505323561473	6151	60	145861	28943
PACIFIC	scaffold41	1	500000	0.0022426817752596788	5480	266	118608	56196
ATLANTIC	scaffold42	1	500000	0.0033638341537179624	6714	436	129614	62326
ATLANTIC	scaffold42	500001	1000000	0.0044119815354603095	3530	389	88169	11203
PACIFIC	scaffold42	1	500000	0.00897048459728377	5000	751	83719	108221
PACIFIC	scaffold42	500001	1000000	0.0049505669197601665	3243	341	68881	30491
ATLANTIC	scaffold43	1	500000	0.00046525229967565266	3700	35	75228	47048
PACIFIC	scaffold43	1	500000	0.0022794394561059246	3608	115	50451	71825
ATLANTIC	scaffold44	1	500000	0.0014350931115530644	7010	254	176992	19932
PACIFIC	scaffold44	1	500000	0.0032546841523492407	6498	477	146558	50366
ATLANTIC	scaffold46	1	500000	0.0016965425953373043	5779	182	107277	63803
PACIFIC	scaffold46	1	500000	0.00482610694040141	5744	567	117486	53594
ATLANTIC	scaffold47	1	500000	0.0005572334473804456	4071	50	89729	24287
PACIFIC	scaffold47	1	500000	0.0026894528975149033	3845	254	94443	19573
ATLANTIC	scaffold48	1	500000	0.000893051459276103	5767	119	133251	28645
PACIFIC	scaffold48	1	500000	0.0011595754170011597	4626	130	112110	49786
ATLANTIC	scaffold49	1	500000	0.0019370663971617766	5416	184	94989	56995
PACIFIC	scaffold49	1	500000	0.0067297728410586006	4335	578	85887	66097
ATLANTIC	scaffold50	1	500000	0.0007355983632936417	1193	16	21751	15601
PACIFIC	scaffold50	1	500000	0.006657789613848202	1233	150	22530	14822
ATLANTIC	scaffold51	1	500000	0.0016409408060621424	6915	246	149914	55018
PACIFIC	scaffold51	1	500000	0.004959354525600582	6475	654	131872	73060
ATLANTIC	scaffold52	1	500000	0.002690836991927489	757	38	14122	7102
PACIFIC	scaffold52	1	500000	0.0	479	0	4830	16394
ATLANTIC	scaffold53	1	500000	0.0033331866584528735	8482	606	181808	56360
PACIFIC	scaffold53	1	500000	0.003052571498460974	8184	599	196228	41940
ATLANTIC	scaffold54	1	500000	0.0028825707877949626	6283	446	154723	22209
PACIFIC	scaffold54	1	500000	0.007279923666819804	5996	1030	141485	35447
ATLANTIC	scaffold55	1	500000	0.006034773801485482	4048	572	94784	19540
PACIFIC	scaffold55	1	500000	0.011709021376046081	3799	992	84721	29603
ATLANTIC	scaffold56	1	500000	0.006616183805856357	1449	256	38693	5015
PACIFIC	scaffold56	1	500000	0.018568458902185517	1517	661	35598	8110
ATLANTIC	scaffold57	1	500000	0.004246284501061571	4589	536	126228	2404
PACIFIC	scaffold57	1	500000	0.008189306747757804	4257	851	103916	24716
ATLANTIC	scaffold58	1	500000	0.00280192131747484	782	49	17488	4408
PACIFIC	scaffold58	1	500000	0.01248179737882255	534	60	4807	17089
ATLANTIC	scaffold59	1	500000	0.0009190205564827921	4342	87	94666	27022
PACIFIC	scaffold59	1	500000	0.002689535063159983	2343	122	45361	76327
ATLANTIC	scaffold60	1	500000	0.0013324591273450224	4971	126	94562	47762
PACIFIC	scaffold60	1	500000	0.0014784865125822219	2677	49	33142	109182
ATLANTIC	scaffold61	1	500000	0.002054190000859167	9723	526	256062	16602
PACIFIC	scaffold61	1	500000	0.005616083660280733	6753	783	139421	133243
ATLANTIC	scaffold62	1	500000	0.0009458383114297092	3786	95	100440	6044
PACIFIC	scaffold62	1	500000	0.0029798979018587726	2157	122	40941	65543
ATLANTIC	scaffold63	1	500000	0.0007368045012056801	1796	33	44788	5724
PACIFIC	scaffold63	1	500000	0.003319482810650201	1786	143	43079	7433
ATLANTIC	scaffold64	1	500000	0.002858336815712495	2363	171	59825	7375
PACIFIC	scaffold64	1	500000	0.00799623706491063	2156	391	48898	18302
ATLANTIC	scaffold65	1	500000	0.002032861485667394	4471	218	107238	18118
PACIFIC	scaffold65	1	500000	0.009183356763368813	2748	503	54773	70583
ATLANTIC	scaffold66	1	500000	0.0013811023069090229	3707	118	85439	18497
PACIFIC	scaffold66	1	500000	0.006408021448236893	3414	533	83177	20759
ATLANTIC	scaffold67	1	500000	0.00344748081378114	3513	314	91081	7731
PACIFIC	scaffold67	1	500000	0.009915081360595854	3338	836	84316	14496
ATLANTIC	scaffold68	1	500000	0.0011743077658187356	5182	145	123477	21731
PACIFIC	scaffold68	1	500000	0.0028708926451779127	5034	312	108677	36531
ATLANTIC	scaffold69	1	500000	0.0060387946809808465	1353	198	32788	5180
PACIFIC	scaffold69	1	500000	0.010759747601852864	1283	295	27417	10551
ATLANTIC	scaffold70	1	500000	0.0005767980367892275	4541	55	95354	32774
PACIFIC	scaffold70	1	500000	0.0014380729822038468	2823	80	55630	72498
ATLANTIC	scaffold71	1	500000	0.000857275943746841	7825	173	201802	18726
PACIFIC	scaffold71	1	500000	0.0031792948423392657	7267	512	161042	59486
ATLANTIC	scaffold72	1	500000	0.0034608385020815677	14477	1025	296171	115289
PACIFIC	scaffold72	1	500000	0.010188236944129993	6289	1017	99821	311639
ATLANTIC	scaffold73	1	500000	0.0011999943695278849	13010	341	284168	80308
PACIFIC	scaffold73	1	500000	0.005344525635606015	2640	354	66236	298240
ATLANTIC	scaffold74	1	500000	0.002439680688851018	6520	408	167235	16473
PACIFIC	scaffold74	1	500000	0.008128904965471884	6213	1236	152050	31658
ATLANTIC	scaffold75	1	500000	0.004432744411575796	7233	490	110541	95539
ATLANTIC	scaffold75	500001	1000000	0.0	78	0	2171	13
PACIFIC	scaffold75	1	500000	0.012808837978384337	5247	1069	83458	122622
PACIFIC	scaffold75	500001	1000000	0.0	57	0	1596	588
ATLANTIC	scaffold76	1	500000	0.012091172279038083	4175	1349	111569	5583
PACIFIC	scaffold76	1	500000	0.02246737521861967	3384	1670	74330	42822
ATLANTIC	scaffold77	1	500000	0.005503592005121275	5440	619	112472	40212
PACIFIC	scaffold77	1	500000	0.008964288515625876	4649	800	89243	63441
ATLANTIC	scaffold78	1	500000	0.0009000562535158447	6058	120	133325	37223
PACIFIC	scaffold78	1	500000	0.009195254062419396	3808	713	77540	93008
ATLANTIC	scaffold79	1	500000	0.0005687357816054598	6105	91	160004	11328
PACIFIC	scaffold79	1	500000	0.0026193022426806776	5657	338	129042	42290
ATLANTIC	scaffold80	1	500000	0.00019748349602211816	1278	7	35446	422
PACIFIC	scaffold80	1	500000	0.0033333333333333335	1279	115	34500	1368
ATLANTIC	scaffold81	1	500000	0.004326086956521739	13635	1393	322000	66052
PACIFIC	scaffold81	1	500000	0.010744944402834591	12867	2984	277712	110340
ATLANTIC	scaffold82	1	500000	0.00036917965204817795	2557	24	65009	6671
PACIFIC	scaffold82	1	500000	0.00759160823343135	2560	537	70736	944
ATLANTIC	scaffold83	1	500000	0.0025808600091578905	1985	124	48046	7534
PACIFIC	scaffold83	1	500000	0.01519299733929742	1623	394	25933	29647
ATLANTIC	scaffold84	1	500000	0.0018562233924500132	1939	92	49563	4785
PACIFIC	scaffold84	1	500000	0.0017326402772224444	1601	52	30012	24336
ATLANTIC	scaffold85	1	500000	0.0021313969880731275	6952	381	178756	20044
PACIFIC	scaffold85	1	500000	0.0004272431963216395	6576	63	147457	51343
ATLANTIC	scaffold86	1	500000	0.0	1504	0	27767	25069
PACIFIC	scaffold86	1	500000	0.0036089753648203358	1171	69	19119	33717
ATLANTIC	scaffold87	1	500000	0.0024955490968851285	2427	164	65717	2351
PACIFIC	scaffold87	1	500000	0.015176394486739315	2422	915	60291	7777
ATLANTIC	scaffold88	1	500000	0.005493640824618378	7147	768	139798	61214
PACIFIC	scaffold88	1	500000	0.012564870680562001	6034	1489	118505	82507
ATLANTIC	scaffold89	1	500000	0.0018751019077123756	2751	138	73596	3460
PACIFIC	scaffold89	1	500000	0.012877005347593583	2752	903	70125	6931
ATLANTIC	scaffold90	1	500000	0.0013637519358343157	4840	177	129789	6179
PACIFIC	scaffold90	1	500000	0.006686103413106411	3987	649	97067	38901
ATLANTIC	scaffold91	1	500000	0.002629379978831263	4666	236	89755	44085
PACIFIC	scaffold91	1	500000	0.0018360874645301285	4531	187	101847	31993
ATLANTIC	scaffold92	1	500000	0.005722044418582097	976	118	20622	7126
PACIFIC	scaffold92	1	500000	0.013313479898397127	897	152	11417	16331
ATLANTIC	scaffold93	1	500000	0.006156980191246446	2824	405	65779	13433
PACIFIC	scaffold93	1	500000	0.020257702323379215	2245	599	29569	49643
ATLANTIC	scaffold94	1	500000	0.0	727	0	12048	8896
PACIFIC	scaffold94	1	500000	0.0	696	0	12233	8711
ATLANTIC	scaffold95	1	500000	0.0016305212365448857	3390	123	75436	23320
PACIFIC	scaffold95	1	500000	0.002027585838913641	3257	152	74966	23790
ATLANTIC	scaffold96	1	500000	0.000167012152590162	4541	17	101789	26003
PACIFIC	scaffold96	1	500000	0.0009830205540661305	4468	88	89520	38272
ATLANTIC	scaffold97	1	500000	0.0044130843648969255	3136	359	81349	6627
PACIFIC	scaffold97	1	500000	0.013396253175002256	3123	1039	77559	10417
ATLANTIC	scaffold98	1	500000	0.0059746612801275184	7604	1087	181935	31397
PACIFIC	scaffold98	1	500000	0.014270288444751936	6120	2207	154657	58675
ATLANTIC	scaffold99	1	500000	0.0021404604882563926	1871	74	34572	17928
PACIFIC	scaffold99	1	500000	0.006776221029199948	1289	207	30548	21952
ATLANTIC	scaffold100	1	500000	0.0014123499817307963	5570	201	142316	14008
PACIFIC	scaffold100	1	500000	0.007409948542024014	5484	972	131175	25149
ATLANTIC	scaffold101	1	500000	0.00038127820943508996	4836	37	97042	40942
PACIFIC	scaffold101	1	500000	0.001860423414437334	4586	166	89227	48757
ATLANTIC	scaffold102	1	500000	0.0035968504888996356	2866	238	66169	14443
PACIFIC	scaffold102	1	500000	0.013788494345662077	2531	784	56859	23753
ATLANTIC	scaffold103	1	500000	0.0012423147619953095	3270	98	78885	12731
PACIFIC	scaffold103	1	500000	0.002723699278838714	1765	88	32309	59307
ATLANTIC	scaffold104	1	500000	0.00897681715182151	766	103	11474	10422
PACIFIC	scaffold104	1	500000	0.030118084118349476	410	227	7537	14359
ATLANTIC	scaffold105	1	500000	0.0025357202508389134	2662	167	65859	9909
PACIFIC	scaffold105	1	500000	0.006643553703482315	2664	389	58553	17215
ATLANTIC	scaffold106	1	500000	0.0002485538684020246	1893	11	44256	9504
PACIFIC	scaffold106	1	500000	0.0011919812172656674	1241	33	27685	26075
ATLANTIC	scaffold107	1	500000	0.00461379745142617	8195	483	104686	156218
PACIFIC	scaffold107	1	500000	0.004543658632951403	7051	575	126550	134354
ATLANTIC	scaffold108	1	500000	0.0029565634749220064	5253	308	104175	45653
PACIFIC	scaffold108	1	500000	0.006054221995233231	4355	569	93984	55844
ATLANTIC	scaffold109	1	500000	0.0018053527630528443	5516	251	139031	15669
PACIFIC	scaffold109	1	500000	0.002300874157871343	4754	264	114739	39961
ATLANTIC	scaffold110	1	500000	0.0019166682719164757	4755	199	103826	32394
PACIFIC	scaffold110	1	500000	0.005960754890007399	4624	572	95961	40259
ATLANTIC	scaffold111	1	500000	0.0	1662	0	34643	14805
PACIFIC	scaffold111	1	500000	0.0	1565	0	28292	21156
ATLANTIC	scaffold112	1	500000	0.003121849695944847	4926	384	123004	14980
PACIFIC	scaffold112	1	500000	0.0045199767592877405	4391	529	117036	20948
ATLANTIC	scaffold113	1	500000	0.0022510891298878426	3830	170	75519	36145
PACIFIC	scaffold113	1	500000	0.005998969706033867	3053	361	60177	51487
ATLANTIC	scaffold114	1	500000	0.0010667224430035557	5425	153	143430	8862
PACIFIC	scaffold114	1	500000	0.004154734908049592	4970	502	120826	31466
ATLANTIC	scaffold115	1	500000	0.004594782227418884	8378	1006	218944	16564
ATLANTIC	scaffold115	500001	1000000	0.002400147105790355	4965	248	103327	37793
PACIFIC	scaffold115	1	500000	0.011688909341923608	7807	2159	184705	50803
PACIFIC	scaffold115	500001	1000000	0.011560764058084008	4045	949	82088	59032
ATLANTIC	scaffold116	1	500000	0.003803465379568051	2315	171	44959	19889
PACIFIC	scaffold116	1	500000	0.009053015500846685	1589	278	30708	34140
ATLANTIC	scaffold117	1	500000	0.002681401774029373	6480	461	171925	10243
PACIFIC	scaffold117	1	500000	0.02444946830779536	5397	2336	95544	86624
ATLANTIC	scaffold118	1	500000	0.0016444909552997457	2875	121	73579	6921
PACIFIC	scaffold118	1	500000	0.003284072249589491	2836	226	68817	11683
ATLANTIC	scaffold119	1	500000	0.0019337392171377638	3387	128	66193	31023
PACIFIC	scaffold119	1	500000	0.0026111594659160354	2579	141	53999	43217
ATLANTIC	scaffold120	1	500000	0.0029683339942219453	4321	262	88265	47759
PACIFIC	scaffold120	1	500000	0.0062900022070183186	4562	456	72496	63528
ATLANTIC	scaffold121	1	500000	0.00177789730028536	2568	119	66933	5027
PACIFIC	scaffold121	1	500000	0.007716500249196556	2179	449	58187	13773
ATLANTIC	scaffold122	1	500000	0.0008930860033726813	13672	331	370625	12359
PACIFIC	scaffold122	1	500000	0.0036567309057508033	12737	1262	345117	37867
ATLANTIC	scaffold123	1	500000	0.0009057780211909927	13727	258	284838	105846
ATLANTIC	scaffold123	500001	1000000	0.006465748284734134	5998	965	149248	18892
PACIFIC	scaffold123	1	500000	0.002118562607177736	12728	551	260082	130602
PACIFIC	scaffold123	500001	1000000	0.02031319781597107	4168	1410	69413	98727
ATLANTIC	scaffold124	1	500000	0.003579936647556219	6860	547	152796	40964
PACIFIC	scaffold124	1	500000	0.004175805357413372	6616	634	151827	41933
ATLANTIC	scaffold125	1	500000	0.0008679285270950129	8368	172	198173	38987
PACIFIC	scaffold125	1	500000	0.0017195183295521039	8079	335	194822	42338
ATLANTIC	scaffold126	1	500000	0.0018357397177229996	4347	215	117119	4849
PACIFIC	scaffold126	1	500000	0.0033746980533320703	3759	285	84452	37516
ATLANTIC	scaffold127	1	500000	0.004791018627766455	3425	402	83907	12357
PACIFIC	scaffold127	1	500000	0.015016570008285005	3050	725	48280	47984
ATLANTIC	scaffold128	1	500000	0.003180883995804303	4974	373	117263	22205
PACIFIC	scaffold128	1	500000	0.008478787817320662	4372	836	98599	40869
ATLANTIC	scaffold129	1	500000	0.004921590804878795	1201	161	32713	1083
PACIFIC	scaffold129	1	500000	0.019986941381311667	1158	551	27568	6228
ATLANTIC	scaffold130	1	500000	0.005259115145466676	9207	938	178357	86047
PACIFIC	scaffold130	1	500000	0.0106087818170558	8473	1713	161470	102934
ATLANTIC	scaffold131	1	500000	0.007644797650412474	2735	531	69459	7625
PACIFIC	scaffold131	1	500000	0.014508595846169134	2736	1022	70441	6643
ATLANTIC	scaffold132	1	500000	0.00092534808151671	2109	43	46469	12723
PACIFIC	scaffold132	1	500000	0.005345822688996121	1971	226	42276	16916
ATLANTIC	scaffold133	1	500000	0.002906791437714344	3657	228	78437	44847
PACIFIC	scaffold133	1	500000	0.00611398352566497	3084	311	50867	72417
ATLANTIC	scaffold134	1	500000	0.0007961903045052354	4992	106	133134	7090
PACIFIC	scaffold134	1	500000	0.0014467661219552687	4961	183	126489	13735
ATLANTIC	scaffold135	1	500000	0.010369640442743543	3884	905	87274	22066
PACIFIC	scaffold135	1	500000	0.00867071007860568	3855	792	91342	17998
ATLANTIC	scaffold136	1	500000	0.005390821621285719	7730	1041	193106	24258
PACIFIC	scaffold136	1	500000	0.011730728334167976	7188	1710	145771	71593
ATLANTIC	scaffold137	1	500000	0.0018053645116918845	8290	378	209376	24312
PACIFIC	scaffold137	1	500000	0.006158254574703399	7805	1225	198920	34768
ATLANTIC	scaffold138	1	500000	0.004098144931459466	5054	545	132987	9169
PACIFIC	scaffold138	1	500000	0.017989233086210196	4925	2162	120183	21973
ATLANTIC	scaffold139	1	500000	0.0037294516644986856	10314	949	254461	34611
PACIFIC	scaffold139	1	500000	0.012763995847343385	10302	3295	258148	30924
ATLANTIC	scaffold140	1	500000	0.003126869491744941	6661	507	162143	24869
PACIFIC	scaffold140	1	500000	0.013394638344764691	6452	2115	157899	29113
ATLANTIC	scaffold141	1	500000	0.0054412560909583105	2351	201	36940	38996
PACIFIC	scaffold141	1	500000	0.00693966506079376	2647	363	52308	23628
ATLANTIC	scaffold142	1	500000	0.0025534088007489997	554	30	11749	3791
PACIFIC	scaffold142	1	500000	0.011107031393427575	546	121	10894	4646
ATLANTIC	scaffold144	1	500000	0.0030601326770811044	1755	143	46730	2634
PACIFIC	scaffold144	1	500000	0.008980224142521724	1729	371	41313	8051
ATLANTIC	scaffold145	1	500000	0.0024657988951324182	4666	208	84354	47134
ATLANTIC	scaffold145	500001	1000000	0.0060849043191447015	2962	214	35169	48243
PACIFIC	scaffold145	1	500000	0.0038007429839510562	3291	310	81563	49925
PACIFIC	scaffold145	500001	1000000	0.005443508909340121	1342	139	25535	57877
ATLANTIC	scaffold146	1	500000	0.005511743528201611	7202	643	116660	91352
PACIFIC	scaffold146	1	500000	0.007841002706837708	6969	1066	135952	72060
ATLANTIC	scaffold147	1	500000	0.00230065452729575	11031	516	224284	91052
PACIFIC	scaffold147	1	500000	0.0060980860307644135	10533	1558	255490	59846
ATLANTIC	scaffold148	1	500000	0.00030622243998040176	684	5	16328	2824
PACIFIC	scaffold148	1	500000	0.002061730640955673	684	34	16491	2661
ATLANTIC	scaffold149	1	500000	0.0	704	0	11848	12232
PACIFIC	scaffold149	1	500000	0.0033189809831359884	772	37	11148	12932
ATLANTIC	scaffold150	1	500000	0.001397732567168815	4829	117	83707	58253
PACIFIC	scaffold150	1	500000	0.009854193046901445	4609	786	79763	62197
ATLANTIC	scaffold151	1	500000	0.0008662961752206604	5009	106	122360	19684
PACIFIC	scaffold151	1	500000	0.004991269142212538	3954	323	64713	77331
ATLANTIC	scaffold152	1	500000	0.0011990335063252046	6363	198	165133	13703
PACIFIC	scaffold152	1	500000	0.008542112865467948	6291	1372	160616	18220
ATLANTIC	scaffold153	1	500000	0.0027029409172371244	1748	92	34037	16559
PACIFIC	scaffold153	1	500000	0.005725452550740537	1712	167	29168	21428
ATLANTIC	scaffold154	1	500000	0.006051490880197507	6947	853	140957	55463
PACIFIC	scaffold154	1	500000	0.012675901091229746	5847	1380	108868	87552
ATLANTIC	scaffold155	1	500000	0.0034610778443113772	9017	578	167000	90236
PACIFIC	scaffold155	1	500000	0.00465328353174851	7239	745	160102	97134
ATLANTIC	scaffold156	1	500000	0.009855574648167347	3479	694	70417	27219
PACIFIC	scaffold156	1	500000	0.021234928192919132	2320	553	26042	71594
ATLANTIC	scaffold157	1	500000	0.0034912036576881028	6637	562	160976	25504
PACIFIC	scaffold157	1	500000	0.013112901965733378	6566	2182	166401	20079
ATLANTIC	scaffold158	1	500000	0.006502589379381547	5473	781	120106	40138
PACIFIC	scaffold158	1	500000	0.009686646135850643	5288	1060	109429	50815
ATLANTIC	scaffold159	1	500000	0.002357610502391533	8130	278	117916	693888
PACIFIC	scaffold159	1	500000	0.003299165628862559	26645	1412	427987	383817
ATLANTIC	scaffold160	1	500000	0.0023240998537114813	4141	197	84764	32584
PACIFIC	scaffold160	1	500000	0.002680170162292857	3436	235	87681	29667
